Order Date,Product Category,Sales per Unit,Quantity,Total Sales
2023-01-31,Clothing,505,2,1010
2023-01-31,Electronics,35,1,35
2023-02-01,Clothing,30,1,30
2023-02-01,Electronics,495,5,2475
2023-02-01,Beauty,25,4,100
2023-02-01,Electronics,300,4,1200
2023-02-01,Beauty,505,1,505
2023-02-01,Clothing,500,3,1500
2023-02-01,Clothing,35,4,140
2023-02-01,Beauty,500,4,2000
2023-02-01,Clothing,500,4,2000
2023-02-01,Electronics,50,1,50
2023-02-01,Beauty,20,4,80
2023-02-02,Clothing,30,3,90
2023-02-02,Beauty,25,2,50
2023-02-02,Electronics,300,4,1200
2023-02-02,Beauty,295,3,885
2023-02-02,Beauty,25,5,125
2023-02-02,Clothing,30,5,150
2023-02-02,Electronics,50,1,50
2023-02-02,Clothing,25,1,25
2023-02-02,Electronics,50,3,150
2023-02-02,Clothing,505,4,2020
2023-02-03,Beauty,495,5,2475
2023-02-03,Beauty,45,3,135
2023-02-03,Electronics,500,4,2000
2023-02-03,Electronics,20,4,80
2023-02-03,Electronics,50,4,200
2023-02-03,Beauty,30,1,30
2023-02-03,Clothing,300,4,1200
2023-02-04,Beauty,30,4,120
2023-02-04,Clothing,305,3,915
2023-02-04,Clothing,30,4,120
2023-02-04,Clothing,25,3,75
2023-02-04,Beauty,500,2,1000
2023-02-04,Clothing,45,4,180
2023-02-04,Electronics,25,2,50
2023-02-04,Beauty,30,4,120
2023-02-04,Clothing,500,1,500
2023-02-04,Clothing,35,3,105
2023-02-04,Electronics,505,2,1010
2023-02-04,Beauty,50,4,200
2023-02-05,Clothing,505,4,2020
2023-02-05,Beauty,50,4,200
2023-02-05,Beauty,30,1,30
2023-02-05,Clothing,30,1,30
2023-02-05,Electronics,25,1,25
2023-02-05,Electronics,30,2,60
2023-02-05,Clothing,25,3,75
2023-02-05,Clothing,25,1,25
2023-02-05,Clothing,35,2,70
2023-02-05,Electronics,35,1,35
2023-02-05,Electronics,30,4,120
2023-02-05,Electronics,300,4,1200
2023-02-05,Electronics,45,2,90
2023-02-05,Clothing,30,1,30
2023-02-05,Clothing,50,3,150
2023-02-05,Electronics,25,2,50
2023-02-06,Electronics,500,4,2000
2023-02-06,Clothing,495,5,2475
2023-02-06,Electronics,50,3,150
2023-02-06,Beauty,300,1,300
2023-02-06,Beauty,25,4,100
2023-02-06,Clothing,50,4,200
2023-02-06,Electronics,25,5,125
2023-02-06,Beauty,25,1,25
2023-02-06,Clothing,30,2,60
2023-02-06,Clothing,50,3,150
2023-02-07,Beauty,500,1,500
2023-02-07,Clothing,30,1,30
2023-02-07,Clothing,495,4,1980
2023-02-07,Electronics,20,5,100
2023-02-07,Clothing,505,3,1515
2023-02-07,Electronics,505,3,1515
2023-02-07,Clothing,45,4,180
2023-02-07,Beauty,45,1,45
2023-02-07,Beauty,50,4,200
2023-02-07,Electronics,295,1,295
2023-02-07,Beauty,25,1,25
2023-02-07,Beauty,25,3,75
2023-02-07,Electronics,300,1,300
2023-02-07,Clothing,295,1,295
2023-02-07,Clothing,20,1,20
2023-02-07,Beauty,25,2,50
2023-02-07,Beauty,500,3,1500
2023-02-07,Electronics,305,3,915
2023-02-07,Clothing,50,2,100
2023-02-07,Clothing,300,4,1200
2023-02-07,Electronics,30,2,60
2023-02-08,Clothing,30,1,30
2023-02-08,Clothing,50,4,200
2023-02-08,Clothing,25,4,100
2023-02-08,Electronics,25,4,100
2023-02-08,Beauty,505,5,2525
2023-02-08,Electronics,25,4,100
2023-02-08,Electronics,25,3,75
2023-02-08,Electronics,25,2,50
2023-02-09,Clothing,300,2,600
2023-02-09,Clothing,35,4,140
2023-02-09,Electronics,505,1,505
2023-02-09,Beauty,30,3,90
2023-02-09,Beauty,495,5,2475
2023-02-09,Clothing,45,4,180
2023-02-09,Clothing,505,5,2525
2023-02-09,Beauty,50,2,100
2023-02-10,Electronics,30,2,60
2023-02-10,Electronics,305,1,305
2023-02-10,Beauty,500,2,1000
2023-02-10,Beauty,295,4,1180
2023-02-10,Beauty,50,2,100
2023-02-10,Clothing,305,4,1220
2023-02-10,Electronics,500,3,1500
2023-02-10,Beauty,300,3,900
2023-02-10,Electronics,30,3,90
2023-02-10,Beauty,35,3,105
2023-02-10,Electronics,300,1,300
2023-02-10,Beauty,30,1,30
2023-02-10,Beauty,300,4,1200
2023-02-11,Electronics,495,2,990
2023-02-11,Electronics,495,3,1485
2023-02-11,Clothing,30,1,30
2023-02-11,Clothing,25,1,25
2023-02-11,Clothing,500,2,1000
2023-02-11,Electronics,35,3,105
2023-02-11,Beauty,25,4,100
2023-02-11,Electronics,500,2,1000
2023-02-11,Electronics,30,3,90
2023-02-11,Electronics,30,2,60
2023-02-11,Electronics,295,1,295
2023-02-12,Electronics,30,4,120
2023-02-12,Clothing,495,2,990
2023-02-12,Beauty,55,2,110
2023-02-12,Beauty,495,4,1980
2023-02-12,Electronics,500,2,1000
2023-02-12,Clothing,500,1,500
2023-02-12,Beauty,45,1,45
2023-02-12,Clothing,50,2,100
2023-02-12,Clothing,25,5,125
2023-02-12,Clothing,25,3,75
2023-02-12,Beauty,25,1,25
2023-02-13,Beauty,25,1,25
2023-02-13,Electronics,50,2,100
2023-02-13,Beauty,20,3,60
2023-02-13,Beauty,50,2,100
2023-02-13,Clothing,505,3,1515
2023-02-13,Clothing,495,2,990
2023-02-13,Electronics,35,3,105
2023-02-13,Electronics,45,4,180
2023-02-13,Beauty,500,4,2000
2023-02-13,Beauty,35,4,140
2023-02-13,Clothing,25,2,50
2023-02-13,Clothing,25,3,75
2023-02-13,Beauty,35,1,35
2023-02-13,Beauty,500,3,1500
2023-02-13,Beauty,25,1,25
2023-02-14,Beauty,505,3,1515
2023-02-14,Beauty,500,4,2000
2023-02-14,Electronics,300,1,300
2023-02-14,Beauty,495,2,990
2023-02-14,Clothing,295,2,590
2023-02-14,Clothing,20,1,20
2023-02-14,Clothing,25,1,25
2023-02-14,Clothing,50,2,100
2023-02-14,Electronics,295,2,590
2023-02-14,Electronics,45,4,180
2023-02-14,Electronics,45,3,135
2023-02-15,Clothing,500,5,2500
2023-02-15,Clothing,505,1,505
2023-02-15,Clothing,305,1,305
2023-02-15,Beauty,55,1,55
2023-02-15,Beauty,300,1,300
2023-02-15,Beauty,505,3,1515
2023-02-15,Beauty,50,5,250
2023-02-16,Clothing,25,2,50
2023-02-16,Electronics,305,3,915
2023-02-16,Electronics,300,3,900
2023-02-16,Electronics,30,5,150
2023-02-16,Clothing,25,2,50
2023-02-16,Beauty,50,2,100
2023-02-16,Electronics,500,3,1500
2023-02-16,Clothing,30,2,60
2023-02-16,Electronics,500,1,500
2023-02-16,Electronics,50,2,100
2023-02-17,Beauty,300,4,1200
2023-02-17,Beauty,35,2,70
2023-02-17,Clothing,30,2,60
2023-02-17,Clothing,30,3,90
2023-02-17,Electronics,500,4,2000
2023-02-17,Electronics,305,3,915
2023-02-17,Electronics,30,2,60
2023-02-17,Clothing,45,2,90
2023-02-17,Beauty,50,1,50
2023-02-17,Electronics,295,4,1180
2023-02-17,Clothing,300,3,900
2023-02-17,Electronics,20,3,60
2023-02-17,Clothing,500,3,1500
2023-02-17,Clothing,30,4,120
2023-02-17,Beauty,295,2,590
2023-02-17,Beauty,50,4,200
2023-02-18,Beauty,495,2,990
2023-02-18,Electronics,30,2,60
2023-02-18,Electronics,295,3,885
2023-02-18,Clothing,55,4,220
2023-02-18,Clothing,35,5,175
2023-02-18,Beauty,20,2,40
2023-02-18,Electronics,30,4,120
2023-02-18,Electronics,500,3,1500
2023-02-18,Clothing,35,1,35
2023-02-18,Clothing,500,2,1000
2023-02-18,Electronics,295,1,295
2023-02-18,Beauty,495,3,1485
2023-02-19,Electronics,305,1,305
2023-02-19,Beauty,500,4,2000
2023-02-19,Beauty,35,1,35
2023-02-19,Electronics,45,2,90
2023-02-19,Clothing,25,1,25
2023-02-19,Beauty,30,1,30
2023-02-20,Beauty,45,4,180
2023-02-20,Electronics,30,1,30
2023-02-20,Beauty,295,5,1475
2023-02-20,Electronics,500,2,1000
2023-02-20,Clothing,25,4,100
2023-02-20,Electronics,25,2,50
2023-02-20,Beauty,30,2,60
2023-02-20,Electronics,20,2,40
2023-02-20,Clothing,495,1,495
2023-02-20,Electronics,500,1,500
2023-02-21,Clothing,25,1,25
2023-02-21,Clothing,25,2,50
2023-02-21,Clothing,300,1,300
2023-02-21,Clothing,35,1,35
2023-02-21,Clothing,305,3,915
2023-02-21,Beauty,25,1,25
2023-02-21,Clothing,30,2,60
2023-02-21,Electronics,25,5,125
2023-02-21,Electronics,30,1,30
2023-02-21,Electronics,35,4,140
2023-02-21,Electronics,300,3,900
2023-02-21,Clothing,305,3,915
2023-02-22,Beauty,25,3,75
2023-02-22,Electronics,25,4,100
2023-02-22,Electronics,295,3,885
2023-02-22,Clothing,495,3,1485
2023-02-22,Beauty,300,3,900
2023-02-22,Beauty,25,1,25
2023-02-22,Clothing,305,3,915
2023-02-22,Electronics,45,1,45
2023-02-22,Electronics,25,2,50
2023-02-22,Beauty,505,4,2020
2023-02-22,Electronics,25,2,50
2023-02-22,Beauty,30,1,30
2023-02-22,Clothing,25,2,50
2023-02-22,Clothing,20,1,20
2023-02-22,Electronics,25,4,100
2023-02-23,Clothing,495,3,1485
2023-02-23,Clothing,500,2,1000
2023-02-23,Clothing,55,3,165
2023-02-23,Clothing,45,5,225
2023-02-23,Electronics,25,5,125
2023-02-23,Beauty,50,4,200
2023-02-23,Beauty,30,1,30
2023-02-23,Electronics,295,2,590
2023-02-23,Clothing,25,5,125
2023-02-23,Electronics,20,3,60
2023-02-23,Clothing,25,4,100
2023-02-24,Clothing,300,1,300
2023-02-24,Clothing,50,4,200
2023-02-24,Electronics,30,2,60
2023-02-24,Electronics,20,4,80
2023-02-24,Electronics,55,4,220
2023-02-24,Electronics,30,2,60
2023-02-24,Beauty,30,1,30
2023-02-24,Beauty,500,3,1500
2023-02-24,Clothing,45,3,135
2023-02-24,Clothing,505,4,2020
2023-02-24,Clothing,300,4,1200
2023-02-24,Beauty,50,1,50
2023-02-24,Electronics,20,4,80
2023-02-25,Beauty,505,4,2020
2023-02-25,Electronics,505,2,1010
2023-02-25,Beauty,50,1,50
2023-02-25,Beauty,305,1,305
2023-02-25,Electronics,300,3,900
2023-02-25,Beauty,35,5,175
2023-02-25,Electronics,55,5,275
2023-02-25,Beauty,500,3,1500
2023-02-25,Electronics,50,2,100
2023-02-25,Beauty,55,5,275
2023-02-25,Beauty,45,3,135
2023-02-25,Beauty,30,2,60
2023-02-25,Beauty,25,1,25
2023-02-25,Clothing,55,1,55
2023-02-25,Clothing,25,1,25
2023-02-26,Clothing,20,4,80
2023-02-26,Clothing,305,5,1525
2023-02-26,Clothing,30,3,90
2023-02-26,Clothing,305,3,915
2023-02-26,Beauty,45,5,225
2023-02-26,Beauty,25,1,25
2023-02-26,Electronics,30,3,90
2023-02-26,Clothing,25,2,50
2023-02-26,Electronics,500,2,1000
2023-02-26,Beauty,25,1,25
2023-02-26,Electronics,495,1,495
2023-02-26,Clothing,25,2,50
2023-02-27,Clothing,25,2,50
2023-02-27,Clothing,295,3,885
2023-02-27,Clothing,500,2,1000
2023-02-27,Electronics,505,4,2020
2023-02-27,Beauty,50,4,200
2023-02-27,Electronics,300,2,600
2023-02-27,Electronics,505,2,1010
2023-02-27,Beauty,25,2,50
2023-02-27,Clothing,25,1,25
2023-02-27,Beauty,300,5,1500
2023-02-27,Clothing,25,4,100
2023-02-27,Beauty,45,3,135
2023-02-28,Electronics,500,4,2000
2023-02-28,Beauty,500,4,2000
2023-02-28,Electronics,25,4,100
2023-02-28,Clothing,25,2,50
2023-02-28,Electronics,305,3,915
2023-02-28,Clothing,30,1,30
2023-02-28,Beauty,495,3,1485
2023-02-28,Beauty,25,4,100
2023-03-01,Clothing,295,5,1475
2023-03-01,Beauty,25,4,100
2023-03-01,Clothing,30,3,90
2023-03-01,Clothing,30,3,90
2023-03-01,Electronics,300,1,300
2023-03-01,Electronics,305,4,1220
2023-03-01,Beauty,30,2,60
2023-03-01,Beauty,20,3,60
2023-03-01,Clothing,20,2,40
2023-03-01,Clothing,295,2,590
2023-03-01,Electronics,495,5,2475
2023-03-01,Clothing,495,2,990
2023-03-01,Electronics,495,4,1980
2023-03-02,Clothing,305,3,915
2023-03-02,Clothing,55,4,220
2023-03-02,Beauty,495,3,1485
2023-03-02,Clothing,30,2,60
2023-03-02,Electronics,300,4,1200
2023-03-02,Electronics,20,2,40
2023-03-02,Electronics,30,2,60
2023-03-02,Electronics,300,5,1500
2023-03-02,Electronics,300,2,600
2023-03-02,Beauty,300,1,300
2023-03-02,Electronics,495,5,2475
2023-03-02,Electronics,20,5,100
2023-03-02,Clothing,30,1,30
2023-03-03,Clothing,30,4,120
2023-03-03,Electronics,25,4,100
2023-03-03,Clothing,25,1,25
2023-03-03,Beauty,500,2,1000
2023-03-03,Electronics,25,2,50
2023-03-03,Clothing,500,1,500
2023-03-03,Beauty,50,4,200
2023-03-03,Beauty,20,1,20
2023-03-03,Clothing,20,2,40
2023-03-03,Electronics,505,3,1515
2023-03-03,Beauty,20,1,20
2023-03-03,Beauty,495,2,990
2023-03-03,Beauty,500,1,500
2023-03-03,Clothing,45,4,180
2023-03-03,Beauty,50,1,50
2023-03-03,Clothing,20,2,40
2023-03-03,Beauty,50,4,200
2023-03-04,Beauty,500,2,1000
2023-03-04,Beauty,25,1,25
2023-03-04,Clothing,30,1,30
2023-03-04,Electronics,295,1,295
2023-03-04,Beauty,35,1,35
2023-03-04,Electronics,35,5,175
2023-03-04,Beauty,45,4,180
2023-03-04,Clothing,300,2,600
2023-03-04,Electronics,20,1,20
2023-03-04,Clothing,55,2,110
2023-03-04,Beauty,45,2,90
2023-03-04,Clothing,495,3,1485
2023-03-04,Clothing,30,2,60
2023-03-05,Beauty,300,1,300
2023-03-05,Electronics,295,2,590
2023-03-05,Clothing,35,5,175
2023-03-05,Beauty,30,4,120
2023-03-05,Beauty,20,3,60
2023-03-05,Clothing,305,5,1525
2023-03-05,Electronics,25,2,50
2023-03-05,Clothing,25,5,125
2023-03-05,Clothing,305,3,915
2023-03-05,Clothing,50,3,150
2023-03-06,Electronics,295,1,295
2023-03-06,Electronics,300,2,600
2023-03-06,Clothing,50,4,200
2023-03-06,Beauty,50,3,150
2023-03-06,Electronics,50,4,200
2023-03-06,Clothing,25,3,75
2023-03-06,Clothing,305,3,915
2023-03-07,Clothing,25,2,50
2023-03-07,Clothing,30,3,90
2023-03-07,Beauty,55,2,110
2023-03-07,Electronics,25,2,50
2023-03-07,Clothing,295,4,1180
2023-03-07,Clothing,30,2,60
2023-03-07,Beauty,495,5,2475
2023-03-07,Electronics,300,1,300
2023-03-07,Clothing,500,4,2000
2023-03-07,Beauty,300,3,900
2023-03-07,Clothing,50,2,100
2023-03-07,Clothing,25,1,25
2023-03-07,Clothing,45,2,90
2023-03-08,Beauty,25,3,75
2023-03-08,Beauty,505,1,505
2023-03-08,Electronics,500,3,1500
2023-03-08,Clothing,25,1,25
2023-03-08,Beauty,505,4,2020
2023-03-08,Beauty,20,3,60
2023-03-08,Beauty,305,2,610
2023-03-08,Beauty,25,5,125
2023-03-08,Beauty,495,2,990
2023-03-08,Beauty,300,4,1200
2023-03-09,Electronics,295,1,295
2023-03-09,Beauty,500,2,1000
2023-03-09,Clothing,300,1,300
2023-03-09,Clothing,30,2,60
2023-03-09,Clothing,20,2,40
2023-03-09,Clothing,25,4,100
2023-03-09,Clothing,50,4,200
2023-03-09,Clothing,20,1,20
2023-03-09,Electronics,25,1,25
2023-03-09,Clothing,300,3,900
2023-03-10,Electronics,20,2,40
2023-03-10,Electronics,295,2,590
2023-03-10,Clothing,505,3,1515
2023-03-10,Clothing,50,3,150
2023-03-10,Clothing,55,5,275
2023-03-10,Electronics,30,3,90
2023-03-10,Clothing,30,4,120
2023-03-10,Beauty,25,1,25
2023-03-10,Beauty,505,2,1010
2023-03-10,Clothing,25,4,100
2023-03-11,Clothing,20,2,40
2023-03-11,Clothing,55,4,220
2023-03-11,Clothing,500,1,500
2023-03-11,Beauty,20,2,40
2023-03-11,Electronics,305,2,610
2023-03-11,Beauty,500,5,2500
2023-03-11,Clothing,25,2,50
2023-03-11,Electronics,505,3,1515
2023-03-12,Clothing,30,1,30
2023-03-12,Electronics,25,3,75
2023-03-12,Electronics,495,2,990
2023-03-12,Beauty,25,3,75
2023-03-12,Clothing,25,1,25
2023-03-12,Clothing,495,4,1980
2023-03-12,Electronics,505,3,1515
2023-03-12,Clothing,295,1,295
2023-03-12,Electronics,20,4,80
2023-03-12,Clothing,500,1,500
2023-03-13,Electronics,25,1,25
2023-03-13,Clothing,505,5,2525
2023-03-13,Beauty,25,3,75
2023-03-13,Clothing,495,2,990
2023-03-13,Clothing,25,2,50
2023-03-13,Clothing,25,4,100
2023-03-13,Clothing,30,2,60
2023-03-13,Clothing,50,3,150
2023-03-13,Beauty,25,5,125
2023-03-13,Clothing,55,2,110
2023-03-14,Clothing,300,1,300
2023-03-14,Clothing,45,2,90
2023-03-14,Beauty,25,5,125
2023-03-14,Clothing,500,1,500
2023-03-14,Clothing,500,4,2000
2023-03-14,Beauty,300,2,600
2023-03-14,Beauty,305,2,610
2023-03-14,Beauty,20,1,20
2023-03-15,Beauty,295,5,1475
2023-03-15,Electronics,500,2,1000
2023-03-15,Beauty,295,2,590
2023-03-16,Clothing,20,1,20
2023-03-16,Clothing,30,2,60
2023-03-16,Electronics,30,2,60
2023-03-17,Clothing,300,2,600
2023-03-17,Clothing,25,4,100
2023-03-17,Clothing,25,3,75
2023-03-17,Clothing,300,3,900
2023-03-17,Clothing,25,2,50
2023-03-17,Beauty,50,5,250
2023-03-17,Clothing,25,3,75
2023-03-17,Clothing,495,2,990
2023-03-18,Electronics,305,3,915
2023-03-18,Clothing,25,1,25
2023-03-18,Clothing,30,4,120
2023-03-18,Clothing,300,4,1200
2023-03-18,Beauty,500,2,1000
2023-03-18,Clothing,55,3,165
2023-03-18,Beauty,30,3,90
2023-03-18,Beauty,50,4,200
2023-03-18,Beauty,25,5,125
2023-03-18,Beauty,45,1,45
2023-03-18,Clothing,500,3,1500
2023-03-19,Clothing,495,1,495
2023-03-19,Clothing,35,2,70
2023-03-19,Clothing,30,2,60
2023-03-19,Electronics,305,3,915
2023-03-19,Clothing,30,4,120
2023-03-19,Electronics,30,1,30
2023-03-19,Clothing,25,2,50
2023-03-20,Clothing,300,2,600
2023-03-20,Clothing,295,3,885
2023-03-20,Beauty,300,1,300
2023-03-20,Electronics,25,4,100
2023-03-20,Electronics,55,5,275
2023-03-20,Beauty,300,3,900
2023-03-20,Clothing,30,2,60
2023-03-20,Clothing,300,1,300
2023-03-20,Electronics,300,2,600
2023-03-20,Clothing,50,3,150
2023-03-20,Clothing,300,4,1200
2023-03-20,Electronics,55,1,55
2023-03-20,Clothing,505,2,1010
2023-03-21,Beauty,50,4,200
2023-03-21,Beauty,30,2,60
2023-03-21,Clothing,20,5,100
2023-03-21,Beauty,500,3,1500
2023-03-21,Electronics,30,3,90
2023-03-21,Clothing,55,4,220
2023-03-21,Clothing,300,4,1200
2023-03-21,Beauty,505,2,1010
2023-03-21,Clothing,55,3,165
2023-03-21,Electronics,25,2,50
2023-03-21,Electronics,35,1,35
2023-03-21,Clothing,300,2,600
2023-03-21,Clothing,495,2,990
2023-03-22,Clothing,50,1,50
2023-03-22,Beauty,50,2,100
2023-03-22,Beauty,500,2,1000
2023-03-22,Electronics,25,3,75
2023-03-22,Beauty,300,3,900
2023-03-22,Clothing,50,3,150
2023-03-22,Beauty,30,3,90
2023-03-22,Beauty,50,2,100
2023-03-22,Electronics,25,3,75
2023-03-22,Electronics,305,1,305
2023-03-22,Electronics,500,2,1000
2023-03-22,Beauty,20,1,20
2023-03-22,Electronics,30,4,120
2023-03-22,Beauty,45,4,180
2023-03-23,Clothing,50,3,150
2023-03-23,Clothing,45,3,135
2023-03-23,Beauty,500,3,1500
2023-03-23,Clothing,50,4,200
2023-03-23,Beauty,505,3,1515
2023-03-23,Electronics,50,2,100
2023-03-23,Clothing,50,2,100
2023-03-23,Clothing,30,3,90
2023-03-23,Clothing,50,3,150
2023-03-23,Beauty,505,2,1010
2023-03-23,Clothing,505,2,1010
2023-03-23,Beauty,495,3,1485
2023-03-23,Beauty,295,3,885
2023-03-23,Beauty,495,1,495
2023-03-24,Clothing,305,4,1220
2023-03-24,Beauty,305,1,305
2023-03-24,Electronics,50,3,150
2023-03-24,Beauty,50,2,100
2023-03-24,Beauty,30,2,60
2023-03-24,Beauty,50,5,250
2023-03-24,Electronics,495,2,990
2023-03-24,Beauty,55,5,275
2023-03-25,Electronics,50,2,100
2023-03-25,Electronics,295,2,590
2023-03-25,Beauty,30,4,120
2023-03-25,Beauty,500,3,1500
2023-03-25,Beauty,500,2,1000
2023-03-25,Clothing,25,3,75
2023-03-25,Electronics,505,5,2525
